Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
67,35,4,3,0,3,0,3,6,16,16,0.0117,0.0000,1.0000,0.2059,1,Sweep-S1,6,13.18,1,0,1,9383.91,5,0,9702.52,9.64
68,36,5,3,1,2,1,3,6,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,6,13.31,1,0,1,9754.76,5,0,10075.44,11.23
69,37,6,5,5,0,0,3,8,16,16,0.0195,0.0000,0.0000,0.0098,0,Sweep,697,39.55,5,5,0,37099.73,112,0,37441.04,10.86
70,37,7,4,3,1,1,3,7,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,246800,8002.69,0,0,0,7047.73,73,0,15357.79,10.99
71,37,8,3,3,0,0,3,6,16,16,0.0117,0.0000,0.0000,0.0059,1,1B,1,13.43,1,0,1,7300.42,0,0,7927.37,10.25
72,38,9,7,5,2,2,3,10,16,16,0.0273,0.3333,0.2857,0.1708,0,Sweep,810,23726.81,1,0,1,14363.04,105,1,38395.02,9.77
73,38,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,306.27,10.62
74,39,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,13,14.04,1,1,0,6567.02,4,0,6889.04,10.25
75,40,4,3,2,1,2,4,7,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,8,12.70,1,0,1,7802.61,7,0,8126.71,10.86
76,41,5,4,2,2,3,4,8,16,16,0.0156,1.0000,0.5000,0.4078,1,Sweep-S1,6,14.16,1,0,1,6878.17,5,0,7197.39,10.86
77,42,6,3,0,3,0,4,7,16,16,0.0117,0.0000,1.0000,0.2059,0,Sweep,81,12.45,1,1,0,11838.26,72,0,12152.59,10.86
78,42,7,5,3,2,2,4,9,16,16,0.0195,0.5000,0.4000,0.2398,1,Sweep-S1,141,28.32,6,6,0,26829.71,12,0,27161.74,10.86
79,43,8,7,2,5,2,4,11,16,16,0.0273,0.3333,0.7143,0.2565,1,Sweep-S1,13,39.55,1,0,1,8482.06,4,0,8828.98,11.11
80,44,9,8,4,4,5,4,12,16,16,0.0313,0.7143,0.5000,0.3299,0,None,0,0.00,0,0,0,0.00,0,0,0.24,11.11
81,44,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,306.15,9.03
82,45,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,6,12.45,1,1,0,5115.60,4,0,5431.27,9.16
83,46,4,3,1,2,1,0,3,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,5,14.04,1,0,1,8813.11,4,0,9135.50,10.99
84,47,5,4,4,0,0,0,4,16,16,0.0156,0.0000,0.0000,0.0078,1,Sweep-S1,637,41.87,2,2,0,16189.58,52,0,16542.48,11.96
85,48,6,5,5,0,0,0,5,16,16,0.0195,0.0000,0.0000,0.0098,0,Sweep,673,39.67,3,3,0,25854.13,88,0,26199.71,10.74
86,48,7,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,1,1B,1,12.70,1,0,1,6788.82,0,0,7420.53,10.62
87,49,8,5,3,2,4,0,5,16,16,0.0195,1.0000,0.4000,0.3898,1,Sweep-S1,87,27.10,3,3,0,15756.84,13,0,16093.51,10.86
88,50,9,4,2,2,1,0,4,16,16,0.0156,0.3333,0.5000,0.2078,0,Sweep,49,13.31,1,0,1,9558.59,48,0,9872.56,10.25
89,50,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,304.08,10.50
90,51,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,25.15,2,2,0,13015.01,12,0,13344.48,11.11
91,52,4,3,3,0,0,1,4,16,16,0.0117,0.0000,0.0000,0.0059,1,Sweep-S2,740,11561.16,1,0,1,3461.18,35,1,15329.47,10.50
92,53,5,4,2,2,3,1,5,16,16,0.0156,1.0000,0.5000,0.4078,1,Sweep-S1,5,14.28,1,0,1,7288.09,4,0,7611.94,10.99
93,54,6,4,3,1,1,1,5,16,16,0.0156,0.3333,0.2500,0.1578,1,Sweep-S1,5,12.82,1,0,1,7278.20,4,0,7593.02,10.86
94,55,7,6,2,4,4,1,7,16,16,0.0234,0.8000,0.6667,0.3851,1,Sweep-S1,6,12.82,1,0,1,7416.75,5,0,7738.89,10.62
95,56,8,5,1,4,2,1,6,16,16,0.0195,0.5000,0.8000,0.3198,0,Sweep,262278,8010.74,0,0,0,11974.73,125,0,20300.66,10.74
96,56,9,8,3,5,4,1,9,16,16,0.0313,0.5714,0.6250,0.3121,0,Sweep,304600,8001.34,0,0,0,11735.84,123,0,20046.63,12.08
97,56,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,311.65,10.25
98,57,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,8,13.67,1,0,1,8332.64,7,0,8654.30,10.86
99,58,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,1,Sweep-S1,48,24.78,3,3,0,19689.57,31,0,20016.23,10.74
100,59,5,4,3,1,2,2,6,16,16,0.0156,0.6667,0.2500,0.2578,1,Sweep-S1,1077,80.69,4,4,0,20751.83,44,0,21142.33,11.23
101,60,6,5,2,3,1,2,7,16,16,0.0195,0.2500,0.6000,0.2048,0,Sweep,70843,5081.18,5,5,0,35853.03,114,0,41240.36,10.62
102,60,7,6,3,3,2,2,8,16,16,0.0234,0.4000,0.5000,0.2317,1,Sweep-S1,5,14.40,1,0,1,6561.28,4,0,6879.76,10.74
103,61,8,6,3,3,3,2,8,16,16,0.0234,0.6000,0.5000,0.2917,0,Sweep,798,13534.30,1,0,1,11561.28,93,1,25399.66,12.08
104,61,9,6,5,1,2,2,8,16,16,0.0234,0.4000,0.1667,0.1651,0,Sweep,148,12.70,1,1,0,18304.44,130,0,18620.61,9.77
105,61,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,305.18,9.52
106,62,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Trivial,0,0.00,0,0,0,0.00,0,0,303.22,10.74
107,63,4,3,1,2,1,3,6,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,65642,4610.84,4,4,0,23620.24,32,0,28538.57,10.74
108,64,5,4,2,2,1,3,7,16,16,0.0156,0.3333,0.5000,0.2078,0,Sweep,179,25.15,5,5,0,33837.65,96,0,34173.22,9.40
109,64,6,5,2,3,4,3,8,16,16,0.0195,1.0000,0.6000,0.4298,0,Sweep,86,11.84,1,1,0,11504.03,83,0,11818.97,9.77
110,64,7,6,3,3,4,3,9,16,16,0.0234,0.8000,0.5000,0.3517,0,Sweep,333200,8012.70,0,0,0,13439.82,140,0,21757.69,9.40
111,64,8,6,3,3,1,3,9,16,16,0.0234,0.2000,0.5000,0.1717,1,Sweep-S1,54,12.82,1,1,0,12343.38,53,0,12664.31,10.99
112,65,9,8,4,4,3,3,11,16,16,0.0313,0.4286,0.5000,0.2442,0,Sweep,32917,2322.51,2,0,2,28918.09,147,0,31550.78,11.11
113,65,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,303.83,10.62
114,66,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,69,13.18,2,2,0,10273.93,4,0,10595.21,10.99
115,67,4,3,1,2,2,4,7,16,16,0.0117,1.0000,0.6667,0.4392,0,Sweep,786,15161.25,1,0,1,10567.38,81,1,26036.13,11.96
116,67,5,4,3,1,2,4,8,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,4398,310.42,4,4,0,38842.53,172,0,39462.52,11.11
117,67,6,5,2,3,3,4,9,16,16,0.0195,0.7500,0.6000,0.3548,0,Sweep,267600,8009.52,0,0,0,12379.39,125,0,20689.94,12.45
118,67,7,6,4,2,3,4,10,16,16,0.0234,0.6000,0.3333,0.2584,0,Sweep,372000,8006.10,0,0,0,20290.28,195,0,28600.10,12.21
119,67,8,6,3,3,3,4,10,16,16,0.0234,0.6000,0.5000,0.2917,0,1A,295646,8011.72,0,0,0,16160.16,157,0,24480.96,12.45
120,67,9,7,6,1,1,4,11,16,16,0.0273,0.1667,0.1429,0.0922,1,1B,9,42.72,1,0,1,8354.98,0,0,9023.68,12.45
121,68,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,13.92,1,1,0,5625.73,4,0,5950.20,10.99
122,69,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,750,3929.44,1,0,1,4547.12,45,1,8776.86,11.72
123,69,4,3,2,1,2,0,3,16,16,0.0117,1.0000,0.3333,0.3725,1,1B,1,15.87,1,0,1,8271.24,0,0,8908.94,11.96
124,70,5,4,1,3,1,0,4,16,16,0.0156,0.3333,0.7500,0.2578,1,1A,667,62.99,3,3,0,13151.37,0,0,13823.24,12.21
125,71,6,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,184,15.38,1,1,0,16194.58,110,0,16522.95,11.72
126,71,7,5,2,3,2,0,5,16,16,0.0195,0.5000,0.6000,0.2798,1,Sweep-S1,82,30.27,4,4,0,20529.05,7,0,20872.80,11.72
127,72,8,6,4,2,2,0,6,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,782,14244.38,1,0,1,10099.37,77,1,24654.30,12.45
128,72,9,6,5,1,2,0,6,16,16,0.0234,0.4000,0.1667,0.1651,1,Sweep-S1,93,29.54,4,4,0,24862.79,20,0,25204.35,11.96
129,73,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,307.86,11.72
130,74,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,17.33,1,0,1,7339.11,4,0,7670.65,11.47
131,75,4,3,1,2,1,1,4,16,16,0.0117,0.5000,0.6667,0.2892,0,Sweep,4865,10723.63,0,0,0,5687.26,56,0,16722.17,13.43
132,75,5,4,4,0,0,1,5,16,16,0.0156,0.0000,0.0000,0.0078,1,Sweep-S1,581,57.13,2,2,0,13672.85,52,0,14031.25,11.96
133,76,6,4,3,1,1,1,5,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,91,15.63,1,1,0,14943.12,89,0,15263.92,11.23
134,76,7,5,3,2,2,1,6,16,16,0.0195,0.5000,0.4000,0.2398,1,1B,1,13.92,1,0,1,7078.13,0,0,7702.88,10.74
135,77,8,6,4,2,2,1,7,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,786,12326.90,1,0,1,10063.48,81,1,22694.58,10.99
136,77,9,8,5,3,5,1,9,16,16,0.0313,0.7143,0.3750,0.3049,1,1B,1,13.43,1,0,1,4628.66,0,0,5251.47,11.72
137,78,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,304.44,10.99
138,79,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,770,5830.32,1,0,1,6593.26,65,1,12735.11,10.01
139,79,4,3,1,2,1,2,5,16,16,0.0117,0.5000,0.6667,0.2892,0,Sweep,746,3319.58,1,0,1,6240.72,65,1,9871.83,11.23
140,79,5,4,3,1,2,2,6,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,1203,74.71,3,3,0,28929.44,98,0,29309.57,9.77
141,79,6,4,3,1,1,2,6,16,16,0.0156,0.3333,0.2500,0.1578,1,1B,1,17.09,1,0,1,6864.75,0,0,7494.87,11.23
